State,County,Under5yrsPopulation_total ,Under5yrsPopulation_female,t5to17yrsPopulation_total,t5to17yrs_Female,t18to24yearsPopulation,t18to24yrs_Female,t25to34yrs_Population,t25to34years_Female,t35to44yrs_Population,t35to44yrs_Female,t45to64yrs_Population,t45to64yrs_Female,t65to84years_Population,t65to84yrs_Female,t85to99yrs_Population,t85to99yrs_Female,t100_years_and_Over_Population,t100yrs_and_over_Female
Kansas,Rawlins County,160,73,418,197,127,65,281,136,276,122,596,304,595,300,105,64,3,3
Kansas,Reno County,3244,1605,10511,5149,5179,2418,7181,3290,7583,3513,15508,7672,10942,5900,1736,1074,14,10
Kansas,Republic County,265,135,730,356,274,136,431,204,476,216,1238,609,1072,560,176,120,12,11
Kansas,Rice County,513,239,1672,815,1008,444,969,485,1035,480,2333,1203,1623,870,258,160,16,11
Kansas,Riley County,4109,1961,8165,3916,23082,10051,12500,5557,6911,3297,9844,5053,6427,3433,908,566,13,8
Kansas,Rooks County,276,137,810,417,279,136,509,253,571,254,1340,648,974,493,159,109,1,0
Kansas,Rush County,138,66,447,198,173,76,257,123,349,176,805,385,647,330,137,92,3,3
Kansas,Russell County,398,195,1115,551,404,207,670,320,765,367,1778,907,1327,713,230,136,4,4
Kansas,Saline County,3235,1546,9331,4627,4761,2152,6698,3348,6354,3147,13768,6938,8843,4758,1297,859,16,16
Kansas,Scott County,320,163,1029,521,379,177,620,306,582,277,1220,624,873,436,125,91,3,3
Kansas,Sedgwick County,32947,16313,98000,48052,51481,25100,71550,35415,65510,32878,124251,62993,70519,37818,9452,5935,114,101
Kansas,Seward County,1732,825,4975,2388,2410,1156,3138,1551,2700,1370,4716,2351,2041,1066,247,163,5,0
Kansas,Shawnee County,10275,4950,31499,15388,15280,7731,21376,10964,21964,11284,44397,22991,29901,16196,4184,2693,33,30
Kansas,Sheridan County,151,73,457,222,134,54,270,137,278,139,596,278,462,243,99,53,0,0
Kansas,Sherman County,371,172,1074,528,592,231,662,328,701,350,1353,704,1016,531,155,94,3,3
Kansas,Smith County,181,84,529,246,183,84,288,136,393,198,948,476,873,435,173,98,2,0
Kansas,Stafford County,245,124,713,344,244,104,439,235,428,203,1086,533,762,373,152,103,3,3
Kansas,Stanton County,153,70,445,217,177,81,262,122,258,128,456,217,274,141,58,37,1,1
