State,County,Under5yrsPopulation_total ,Under5yrsPopulation_female,t5to17yrsPopulation_total,t5to17yrs_Female,t18to24yearsPopulation,t18to24yrs_Female,t25to34yrs_Population,t25to34years_Female,t35to44yrs_Population,t35to44yrs_Female,t45to64yrs_Population,t45to64yrs_Female,t65to84years_Population,t65to84yrs_Female,t85to99yrs_Population,t85to99yrs_Female,t100_years_and_Over_Population,t100yrs_and_over_Female
Alabama,Autauga County,3513,1695,10769,5325,4779,2407,7282,3777,7708,3990,15511,7998,8316,4610,926,613,1,0
Alabama,Baldwin County,11690,5691,37606,18283,16928,8439,24691,12592,27629,14110,62533,32731,46084,24455,4564,2808,42,31
Alabama,Barbour County,1322,688,3767,1872,1897,882,3142,1314,3191,1273,6801,3205,4611,2503,489,317,3,2
Alabama,Bibb County,1270,652,3490,1686,1808,834,2862,1232,3096,1273,6151,2823,3263,1741,349,254,4,0
Alabama,Blount County,3541,1684,10190,5064,4959,2396,6574,3298,7032,3599,15824,7851,9961,5362,1047,678,6,5
Alabama,Bullock County,493,269,1508,713,709,324,1398,549,1521,592,2870,1256,1690,898,158,120,10,8
Alabama,Butler County,1044,499,3104,1432,1513,768,1924,1062,2259,1237,5115,2723,3579,2003,503,348,10,8
Alabama,Calhoun County,6292,3098,17860,8724,13695,7044,13617,7017,13647,7198,29903,15499,19085,10466,2320,1592,22,16
Alabama,Chambers County,1752,857,5229,2581,3136,1380,4083,2091,3818,2011,9586,4904,6438,3531,717,503,13,12
Alabama,Cherokee County,1166,576,3636,1771,1904,943,2457,1200,2510,1276,7423,3765,5387,2773,480,334,8,6
Alabama,Chilton County,2705,1357,7924,3981,3781,1852,5353,2731,5556,2793,11990,6082,7001,3752,695,457,9,9
Alabama,Choctaw County,666,321,1831,866,950,483,1177,605,1328,692,3811,1972,2639,1446,257,163,6,4
Alabama,Clarke County,1302,606,3536,1732,1859,947,2435,1298,2575,1387,6560,3457,4229,2310,580,407,11,10
Alabama,Clay County,755,384,2182,1021,1110,507,1437,761,1608,815,4106,2039,2740,1465,294,192,4,4
Alabama,Cleburne County,849,394,2587,1299,1127,543,1587,801,1658,850,4300,2105,2643,1405,304,205,1,0
Alabama,Coffee County,3184,1542,9507,4680,4585,2180,6744,3319,6619,3321,13499,6862,8363,4550,956,630,8,4
Alabama,Colbert County,3205,1551,8944,4378,4559,2281,6881,3578,6559,3439,15698,8168,10220,5660,1150,738,11,11
Alabama,Conecuh County,593,272,1727,871,885,439,1179,598,1178,617,3358,1732,2397,1289,273,195,7,7
Alabama,Coosa County,478,243,1306,646,671,340,1056,521,1172,546,3304,1599,2180,1099,214,161,6,6
Alabama,Covington County,2097,243,6086,2938,2818,1401,3960,2077,4135,2180,10280,5255,7249,3942,930,621,15,10
Alabama,Crenshaw County,645,314,2189,1038,976,474,1487,787,1447,771,3667,1883,2467,1377,301,211,15,13
Alabama,Cullman County,5139,2531,14487,7068,7187,3549,10447,5171,10529,5280,23440,11752,14964,8171,1651,1052,22,19
Alabama,Dale County,3212,1568,8066,3855,4307,2112,6947,3501,5755,2948,12509,6411,7669,4190,847,518,14,7
Alabama,Dallas County,2195,1107,6654,3238,3113,1553,4095,2261,4293,2391,10807,5797,6573,3670,714,492,18,14
Alabama,DeKalb County,4436,2164,13252,6445,6282,3051,7931,3966,8534,4369,18587,9370,11488,6190,1092,705,6,4
Alabama,Elmore County,4668,2325,14304,6857,7104,3301,11218,5456,11433,5482,24581,12224,13430,7162,1222,804,17,15
Alabama,Escambia County,2183,1090,5999,2984,2753,1351,4477,2132,4358,2040,9865,4885,6335,3488,766,514,21,19
Alabama,Etowah County,5933,2892,16382,7952,8679,4319,11743,6069,11990,6179,28099,14394,18644,10273,1957,1309,9,6
Alabama,Fayette County,909,451,2621,1248,1221,599,1648,877,1868,926,4499,2323,3183,1674,370,245,2,1
Alabama,Franklin County,2110,1016,6072,2978,2758,1325,3784,1894,3888,1949,8000,4003,4934,2695,565,384,2,1
Alabama,Geneva County,1367,655,4472,2175,1968,976,2728,1379,3195,1629,7309,3688,5050,2696,562,368,8,7
Alabama,Greene County,429,195,1231,616,624,303,790,408,819,436,2131,1166,1538,839,154,111,14,11
Alabama,Hale County,876,387,2426,1176,1213,642,1626,869,1703,917,4124,2229,2526,1368,287,213,4,4
Alabama,Henry County,822,391,2683,1292,1245,605,1591,845,1925,994,4812,2479,3683,1978,383,268,2,2
Alabama,Houston County,6423,3105,18133,8680,8532,4355,12835,6882,13076,6873,27943,14627,18012,10054,2227,1466,21,16
Alabama,Jackson County,2811,1411,8000,3816,4177,2062,5557,2791,6125,3169,14846,7553,10046,5452,1014,685,3,3
Alabama,Jefferson County,39075,19139,108559,53375,65162,34405,95212,50103,85996,45472,167499,88795,99954,56504,13107,8969,157,127
Alabama,Lamar County,761,355,2192,1066,1038,507,1373,719,1576,809,3928,2001,2767,1437,334,207,3,3
Alabama,Lauderdale County,4830,2317,13826,6724,10604,5685,11056,5636,10032,5079,24184,12614,16935,9257,2087,1332,10,10
Alabama,Lawrence County,1858,891,5337,2617,2506,1262,3709,1896,3712,1859,9668,4946,5749,3045,532,363,2,2
Alabama,Lee County,10039,4837,27758,13410,33062,16717,24228,12168,20262,10505,37340,19433,19541,10630,1996,1286,15,14
Alabama,Limestone County,6051,2996,17801,8827,8176,3936,12850,6272,13941,6725,28336,14001,14836,8020,1560,1024,19,18
Alabama,Lowndes County,528,268,1500,720,806,394,1073,565,1129,573,3127,1640,1943,1043,200,134,5,5
Alabama,Macon County,845,420,2461,1185,3570,2243,2043,1072,1757,918,4952,2573,3519,2001,377,278,8,6
Alabama,Madison County,21560,10602,62450,30602,39930,19730,53242,26466,47981,24478,102776,53100,53239,29464,6910,4329,65,41
Alabama,Marengo County,1088,543,3182,1565,1437,703,2132,1134,2130,1176,5419,2927,3512,1882,418,286,5,5
Alabama,Marion County,1580,726,4497,2200,2320,1111,3273,1645,3357,1683,8208,4066,5478,2969,611,423,17,11
Alabama,Marshall County,6151,2924,17931,8859,8211,4017,11542,5699,11415,5834,25049,12690,15532,8541,1766,1133,15,15
Alabama,Mobile County,25445,12546,69937,34616,39746,20636,53630,28209,49949,26225,105366,55126,63670,34960,6999,4640,67,63
Alabama,Monroe County,1014,455,3196,1560,1675,818,1995,1059,2219,1187,5594,2875,3627,2007,440,296,12,10
Alabama,Montgomery County,13896,6807,37631,18483,22876,12051,30942,16338,29228,15439,57627,30764,32770,18507,3943,2594,41,41
Alabama,Morgan County,7231,3559,20705,10045,10170,4960,14665,7329,15051,7500,33263,16847,20033,11078,2288,1480,15,15
Alabama,Perry County,463,225,1308,656,1082,461,838,443,892,486,2216,1180,1494,875,218,134,0,0
Alabama,Pickens County,941,431,2735,1323,1466,764,2235,1367,2562,1584,5371,2987,3436,1867,376,232,1,1
Alabama,Pike County,1720,846,4480,2212,6533,3655,3850,1993,3390,1795,7587,4040,4897,2712,543,361,9,8
Alabama,Randolph County,1184,585,3519,1715,1953,958,2262,1226,2211,1185,6266,3189,4139,2174,431,294,2,2
Alabama,Russell County,3977,1924,10525,5079,4843,2488,8503,4507,7088,3765,15035,7892,8289,4601,918,640,5,0
Alabama,St. Clair County,5193,2547,15818,7554,6658,3214,11078,5531,11732,6013,24755,12475,14451,7809,1410,826,8,6
Alabama,Shelby County,12350,5989,40187,19831,20008,10197,26518,13762,30401,15822,58838,30586,31584,17361,3112,1946,26,20
Alabama,Sumter County,673,333,1758,865,1980,1074,1277,677,1126,634,3207,1763,2065,1131,253,193,6,3
Alabama,Talladega County,4299,2094,12826,6397,7150,3622,9562,4889,9893,5084,23229,11828,13826,7448,1360,897,4,2
Alabama,Tallapoosa County,2033,960,6266,3017,2950,1432,4358,2282,4395,2292,12013,6187,8417,4491,868,563,11,11
Alabama,Tuscaloosa County,13446,6683,34566,17142,40441,21489,30889,15848,26823,13937,49810,25872,27868,15184,3157,2126,36,34
Alabama,Walker County,3497,1690,10178,4966,5256,2617,7345,3612,7564,3888,18036,9133,12225,6694,1227,793,14,10
Alabama,Washington County,875,438,2432,1167,1286,639,1541,763,1680,872,4321,2206,2942,1566,305,179,6,3
Alabama,Wilcox County,617,318,1723,832,915,454,1055,552,1144,595,2943,1525,1985,1046,217,146,1,0
Alabama,Winston County,1234,596,3540,1707,1868,918,2341,1222,2592,1306,6823,3425,4638,2496,491,326,13,12
Alaska,Aleutians East Borough,70,32,230,108,235,88,720,188,697,182,1233,364,228,85,7,2,0,0
Alaska,Aleutians West Census Area,162,86,491,241,470,128,1042,327,1017,286,1747,604,284,120,19,8,0,0
Alaska,Anchorage Municipality,18738,8992,49594,24094,28687,13267,47414,23081,39907,19659,70773,35361,33378,17173,2718,1701,38,25
Alaska,Bethel Census Area,1794,863,4742,2317,2086,1011,2821,1375,2041,957,3643,1648,1455,677,83,71,1,0
Alaska,Bristol Bay Borough,45,22,141,70,50,26,124,58,85,45,263,120,125,58,11,5,0,0
Alaska,Chugach Census Area,443,227,1203,564,529,230,1056,500,1003,479,1965,910,837,401,64,31,2,1
Alaska,Copper River Census Area,137,70,449,209,146,69,267,131,320,157,809,352,458,192,30,14,1,1
Alaska,Denali Borough,89,47,239,116,69,39,221,120,262,121,496,223,229,101,14,5,0,0
Alaska,Dillingham Census Area,434,218,1104,557,436,205,755,368,521,250,1096,509,475,232,36,20,0,0
Alaska,Fairbanks North Star Borough,6697,3275,16210,7889,11964,4612,16578,7520,12586,5919,20659,10082,10219,4930,736,453,6,5
Alaska,Haines Borough,93,45,285,142,109,55,210,108,277,151,614,285,457,218,35,24,0,0
Alaska,Hoonah-Angoon Census Area,131,70,389,192,127,62,236,98,242,109,700,335,498,221,41,17,1,1
Alaska,Juneau City and Borough,1705,848,5183,2549,2481,1221,4922,2444,4642,2237,8689,4202,4342,2179,287,175,4,1
Alaska,Kenai Peninsula Borough,3332,1578,9480,4549,4012,1860,7124,3405,7146,3335,16404,7985,10623,5041,675,385,3,2
Alaska,Ketchikan Gateway Borough,699,344,2394,1156,1060,493,1825,924,1922,931,3785,1855,2133,1075,127,82,3,3
Alaska,Kodiak Island Borough,822,367,2405,1116,1257,478,2031,920,1850,887,3129,1514,1527,779,79,51,1,1
Alaska,Kusilvak Census Area,982,447,2439,1169,932,445,1293,617,744,368,1438,669,504,263,36,11,0,0
Alaska,Lake and Peninsula Borough,137,82,314,166,118,56,231,120,209,103,330,155,130,63,7,5,0,0
Alaska,Matanuska-Susitna Borough,7220,3468,21780,10475,8015,3717,14194,6902,14619,7071,27047,13048,13297,6516,898,495,11,6
Alaska,Nome Census Area,918,464,2377,1157,973,454,1608,777,1250,579,2079,953,794,346,45,28,2,2
Alaska,North Slope Borough,791,382,2061,1018,1126,417,1814,716,1694,516,2870,865,636,248,36,29,3,0
Alaska,Northwest Arctic Borough,763,376,2044,955,768,357,1211,603,894,420,1537,721,529,243,45,33,2,1
Alaska,Petersburg Borough,156,75,557,286,238,97,437,217,407,205,891,411,651,295,56,40,5,3
Alaska,Prince of Wales-Hyder Census Area,348,168,1022,466,394,159,660,325,673,309,1604,735,999,420,52,23,1,1
Alaska,Sitka City and Borough,440,202,1304,643,675,287,1182,588,1226,599,2205,1085,1313,663,108,77,5,3
Alaska,Skagway Municipality,82,43,165,77,41,26,181,88,265,132,339,150,158,80,9,7,0,0
Alaska,Southeast Fairbanks Census Area,379,186,1206,590,456,191,904,375,920,400,1779,824,1102,489,59,28,3,0
Alaska,Wrangell City and Borough,112,60,308,147,133,58,238,138,218,97,636,304,429,198,51,28,2,1
Alaska,Yakutat City and Borough,32,18,96,43,42,24,73,40,90,29,208,86,113,41,8,5,0,0
Alaska,Yukon-Koyukuk Census Area,353,188,1072,490,374,185,667,327,659,296,1422,674,743,316,53,32,0,0
Arizona,Apache County,3861,1874,13055,6420,5839,2879,7742,3744,7253,3446,16383,8387,10817,5782,1057,676,14,12
Arizona,Cochise County,6287,3170,19830,9840,9645,4299,14611,6689,13543,6547,31224,16100,27573,14284,2711,1548,23,18
Arizona,Coconino County,7084,3469,22025,10741,28461,15771,19492,9494,16287,8083,31693,15996,18584,9484,1456,873,19,13
Arizona,Gila County,2434,1216,7832,3790,3253,1521,5032,2487,4630,2242,14198,7398,14401,7253,1476,833,16,5
Arizona,Graham County,2781,1397,8037,3933,3875,1835,5205,2218,4934,2061,8138,3802,4968,2644,583,351,12,11
Arizona,Greenlee County,815,415,1905,921,807,376,1330,621,1250,576,2248,1031,1057,525,149,95,2,0
Arizona,La Paz County,772,381,2280,1118,933,419,1370,666,1398,686,4219,2132,5207,2546,369,193,9,3
Arizona,Maricopa County,253703,124417,784479,383715,430480,210747,612132,303159,565186,284783,1060802,544350,637694,345606,75306,45874,786,609
Arizona,Mohave County,8667,4237,27139,13188,12424,5915,19771,9377,18969,9165,60134,30418,60713,29984,5395,3025,55,34
Arizona,Navajo County,6446,3195,21063,10351,8353,4009,12351,5906,11432,5526,25866,13292,19424,10161,1753,1054,29,26
Arizona,Pima County,51065,25220,158103,77165,101154,49951,133868,64944,119666,59656,251514,130436,203227,108475,24578,14642,258,191
Arizona,Pinal County,24272,12011,75352,36834,31950,14790,51439,23200,51904,23684,98693,49282,85275,44012,6334,3409,45,30
Arizona,Santa Cruz County,2745,1328,9709,4764,3767,1884,5100,2740,4876,2672,11919,6545,8643,4648,896,524,14,10
Arizona,Yavapai County,8937,4308,28136,13798,15443,6934,20232,9795,20326,10033,63184,33716,72434,37426,7443,4197,74,53
Arizona,Yuma County,12501,6180,38211,18620,19239,9070,26812,12689,22947,11016,45878,23684,34531,18141,3738,1977,24,12
Arkansas,Arkansas County,1002,501,2854,1410,1211,571,1887,988,2075,1072,4562,2335,3139,1658,417,285,2,2
Arkansas,Ashley County,1046,522,3280,1584,1412,697,1925,999,2112,1147,5237,2720,3651,1951,389,274,10,7
Arkansas,Baxter County,1736,798,5533,2697,2451,1155,3741,1821,3994,2034,11046,5812,11564,6094,1541,884,21,17
Arkansas,Benton County,19512,9492,56217,27422,23796,11889,41327,20593,40560,20300,64257,32876,34636,18844,3987,2453,41,29
Arkansas,Boone County,2043,988,6247,3011,2879,1390,4006,2025,4241,2134,9852,5040,7180,3886,914,584,11,8
Arkansas,Bradley County,635,306,2053,989,739,363,1143,591,1252,649,2714,1401,1769,965,237,144,3,3
Arkansas,Calhoun County,228,117,730,353,446,223,481,257,502,258,1395,683,869,447,82,47,6,3
Arkansas,Carroll County,1586,793,4592,2261,1976,968,2909,1429,3112,1561,7418,3802,6051,3093,608,385,8,6
Arkansas,Chicot County,582,257,1621,758,767,322,1069,458,1113,540,2874,1441,1931,1063,244,162,7,5
Arkansas,Clark County,1048,539,2997,1480,4374,2343,2220,1147,2069,1089,4909,2587,3401,1864,423,275,5,4
Arkansas,Clay County,849,414,2319,1199,1138,552,1597,777,1571,773,3876,1976,2807,1545,386,260,9,9
Arkansas,Cleburne County,1054,527,3558,1742,1539,722,2190,1049,2501,1262,7044,3569,6048,3204,776,469,1,1
Arkansas,Cleveland County,361,192,1247,590,529,261,728,375,928,490,2143,1075,1452,767,156,96,6,6
Arkansas,Columbia County,1336,681,3511,1729,3524,1796,2470,1298,2383,1270,5444,2816,3613,2010,514,352,6,3
Arkansas,Conway County,1159,553,3572,1822,1567,754,2323,1209,2391,1197,5646,2854,3590,1890,461,296,6,5
Arkansas,Craighead County,7379,3544,20232,9911,14163,7207,16091,8241,14035,7165,23763,12380,13812,7758,1744,1189,12,11
Arkansas,Crawford County,3691,1817,11055,5470,4647,2271,7124,3574,7143,3666,15875,8061,9576,5194,1018,647,4,2
Arkansas,Crittenden County,3260,1646,9366,4583,4066,2066,5840,3198,5855,3194,12529,6699,6600,3681,643,447,4,1
Arkansas,Cross County,1065,534,3081,1472,1246,639,1805,975,1956,1025,4511,2314,2870,1570,296,190,3,1
Arkansas,Dallas County,331,170,1054,505,433,209,660,354,725,370,1759,893,1378,730,142,108,0,0
Arkansas,Desha County,677,319,2113,1054,886,441,1218,681,1322,700,2997,1597,2008,1081,170,116,4,4
Arkansas,Drew County,1048,487,2920,1385,1950,960,2077,1080,1954,1009,4297,2284,2739,1506,360,243,5,5
Arkansas,Faulkner County,7447,3604,21378,10351,16734,8937,17055,8625,15406,7773,28478,14563,15260,8378,1724,1131,16,14
Arkansas,Franklin County,976,462,3135,1465,1264,590,1807,932,1991,1007,4497,2282,3058,1620,366,217,3,0
Arkansas,Fulton County,655,335,2011,988,759,344,1059,556,1178,577,3271,1676,2817,1438,316,196,9,4
Arkansas,Garland County,5043,2425,15407,7434,6943,3396,10795,5492,11213,5767,26321,13791,21874,11818,2568,1581,16,5
Arkansas,Grant County,972,474,3170,1555,1327,621,2092,1062,2212,1097,4904,2461,2962,1588,316,193,3,3
Arkansas,Greene County,2867,1407,8383,4055,3956,1941,5772,2887,5664,2843,11583,5826,6708,3713,796,530,7,5
Arkansas,Hempstead County,1356,647,3685,1826,1582,762,2191,1154,2303,1250,5237,2706,3328,1795,379,243,4,3
Arkansas,Hot Spring County,1615,764,5384,2612,2484,1110,3960,1729,4287,1881,8905,4208,5800,3029,598,367,7,5
Arkansas,Howard County,827,382,2410,1148,947,475,1356,712,1491,793,3334,1724,2169,1176,244,150,7,7
Arkansas,Independence County,2226,1082,6945,3410,3465,1686,4495,2212,4557,2290,9444,4823,6061,3237,738,482,7,5
Arkansas,Izard County,585,305,1820,886,946,395,1460,593,1490,634,3720,1759,3166,1622,379,242,11,5
Arkansas,Jackson County,931,470,2382,1175,1262,629,2341,1206,2348,1228,4462,2234,2718,1471,309,204,2,1
Arkansas,Jefferson County,3501,1755,10486,5054,6616,3343,8099,3818,8398,3973,18089,9178,10877,5945,1186,787,8,7
Arkansas,Johnson County,1609,798,4763,2331,2319,1133,2974,1479,3033,1533,6607,3295,4019,2103,423,271,2,0
Arkansas,Lafayette County,288,146,942,448,454,223,593,291,700,369,1865,958,1331,707,130,64,5,5
Arkansas,Lawrence County,945,474,2674,1280,1596,734,1785,866,1802,888,4173,2129,2889,1537,348,217,4,4
Arkansas,Lee County,459,231,1112,576,636,263,1191,372,1161,380,2354,1033,1494,811,191,122,2,1
Arkansas,Lincoln County,512,258,1571,809,1053,327,2119,530,2164,579,3483,1297,1840,911,195,128,4,4
Arkansas,Little River County,747,390,1925,886,812,391,1262,635,1343,699,3276,1680,2392,1265,268,163,1,0
Arkansas,Logan County,1267,642,3585,1730,1531,755,2163,1128,2283,1113,5912,2960,3978,2116,408,260,4,4
Arkansas,Lonoke County,4674,2267,14408,6966,5931,2937,9553,4868,9901,5049,18638,9519,9892,5358,1012,693,6,5
Arkansas,Madison County,948,465,2823,1375,1202,591,1828,888,1901,956,4547,2259,2903,1465,364,239,5,5
Arkansas,Marion County,756,383,2250,1096,935,464,1452,717,1607,750,4959,2559,4511,2230,348,192,8,7
Arkansas,Miller County,2520,1304,7356,3499,3399,1644,5349,2726,5463,2741,11151,5772,6700,3641,659,421,3,2
Arkansas,Mississippi County,2797,1378,7700,3697,3773,1812,4966,2496,4898,2525,10294,5200,5648,3093,598,409,11,11
Arkansas,Monroe County,393,201,1042,519,436,239,682,379,694,343,1959,1029,1412,738,175,101,6,4
Arkansas,Montgomery County,437,220,1244,585,482,229,761,380,787,393,2499,1269,2029,1063,243,144,2,1
Arkansas,Nevada County,460,217,1417,645,600,293,828,432,922,504,2346,1201,1554,811,176,101,7,7
Arkansas,Newton County,319,179,978,463,450,203,589,319,690,344,2119,1032,1890,940,189,110,1,1
Arkansas,Ouachita County,1196,561,3703,1852,1599,787,2448,1263,2528,1348,6352,3286,4276,2345,537,358,11,11
Arkansas,Perry County,534,255,1665,830,672,321,992,498,1127,567,2936,1478,1903,962,187,111,3,2
Arkansas,Phillips County,1133,542,3107,1501,1314,683,1607,918,1806,1003,4330,2317,2931,1588,332,235,8,8
Arkansas,Pike County,531,257,1743,871,761,365,1080,529,1085,569,2848,1409,1921,1010,202,116,0,0
Arkansas,Poinsett County,1499,717,3936,1928,1889,926,2645,1365,2489,1280,6239,3160,3869,2146,399,248,0,0
Arkansas,Polk County,1028,504,3286,1657,1343,634,1874,938,2025,1017,5168,2648,4080,2150,415,243,2,2
Arkansas,Pope County,3763,1825,10645,5223,8382,4066,7871,3924,7212,3651,15222,7770,9181,4946,1094,694,11,11
Arkansas,Prairie County,470,219,1317,585,570,282,850,435,888,450,2305,1151,1675,874,206,141,1,1
Arkansas,Pulaski County,23723,11596,65824,32230,35063,17715,56915,29724,52404,27284,99362,52152,58877,32657,6864,4564,93,88
Arkansas,Randolph County,1235,585,3209,1537,1390,688,2193,1082,2125,1032,4683,2388,3246,1761,486,329,4,3
Arkansas,St. Francis County,1353,699,3331,1689,1605,786,2768,1150,3415,1202,6537,2930,3737,2013,339,206,5,0
Arkansas,Saline County,6988,3480,22576,11003,8982,4471,14903,7657,16368,8400,30869,15750,20713,11164,1997,1268,20,18
Arkansas,Scott County,594,324,1735,834,695,322,1115,558,1045,470,2674,1321,1761,925,211,136,6,2
Arkansas,Searcy County,392,197,1162,563,526,272,683,350,790,402,2306,1145,1743,878,225,138,1,0
Arkansas,Sebastian County,7994,3887,22424,11048,11793,5856,16575,8270,15434,7912,32363,16514,18999,10425,2196,1436,21,10
Arkansas,Sevier County,1147,531,3287,1616,1406,674,1874,933,1856,954,3827,1915,2207,1150,234,140,1,1
Arkansas,Sharp County,955,477,2583,1247,1161,536,1556,776,1696,850,4831,2446,4004,2123,478,288,7,7
Arkansas,Stone County,625,312,1854,893,754,367,1123,574,1207,592,3428,1750,3042,1621,321,198,5,1
Arkansas,Union County,2321,1138,6725,3266,2958,1415,4429,2274,4753,2456,10422,5406,6588,3544,857,581,1,1
Arkansas,Van Buren County,675,329,2343,1146,926,432,1338,666,1650,835,4575,2285,3784,1968,498,313,7,4
Arkansas,Washington County,15628,7568,42574,20626,37957,19419,37133,17963,31853,15798,50856,25759,26745,14604,3092,1957,33,24
Arkansas,White County,4437,2115,13450,6517,8479,4397,8965,4527,8840,4585,19177,9760,11994,6593,1473,969,7,5
Arkansas,Woodruff County,330,168,986,472,475,226,531,281,690,370,1739,898,1371,698,147,106,0,0
Arkansas,Yell County,1264,610,3673,1797,1646,752,2326,1176,2277,1093,5357,2690,3322,1766,396,256,2,2
California,Alameda County,89533,43898,254432,124110,153569,76353,267424,135036,257365,131028,419547,213766,211586,115308,28350,18007,547,421
California,Alpine County,52,27,143,66,77,38,146,63,114,54,371,182,278,129,20,11,3,1
California,Amador County,1648,763,4784,2302,2106,927,4108,1633,4568,1757,11780,5257,10417,5142,1046,613,17,13
California,Butte County,11199,5542,32094,15705,26381,13329,28133,13665,24887,12166,48783,24923,35622,18833,4471,2781,62,47
California,Calaveras County,1962,942,5993,2893,2587,1208,4388,2129,4578,2200,13022,6624,11630,5897,1113,633,19,12
California,Colusa County,1407,711,4699,2234,1906,911,2799,1364,2703,1385,5074,2523,2897,1482,343,227,11,6
California,Contra Costa County,62032,30494,201223,98270,94807,46020,142644,71778,160572,82648,311850,160923,169942,93272,22499,14158,358,298
California,Del Norte County,1412,706,4279,2140,1952,820,4070,1382,3771,1529,7018,3397,4769,2468,461,259,11,7
California,El Dorado County,8523,4120,30579,14929,12580,6098,18352,8984,22591,11372,55902,28648,38530,19776,4085,2401,43,28
California,Fresno County,69464,34176,208945,102202,102135,50051,147047,71931,129513,64718,218228,111216,117479,62948,15630,9814,213,157
California,Glenn County,1844,865,5609,2709,2430,1207,3587,1753,3529,1750,6943,3525,4375,2240,578,365,22,15
California,Humboldt County,6678,3279,19976,9728,13893,7133,19751,9614,18455,8938,31588,16022,23643,12452,2457,1527,22,16
California,Imperial County,10762,5319,36740,17999,17435,8217,25928,11762,22793,10873,41551,21669,21635,11989,2805,1721,53,32
California,Inyo County,939,479,2897,1428,1143,536,2224,1068,2334,1136,4967,2453,3976,2010,526,285,10,5
California,Kern County,63450,31048,194046,95125,89658,42896,135594,64215,119229,57740,200070,100160,96867,51451,10197,6299,124,74
California,Kings County,10409,5127,30142,14824,15583,7059,25213,10417,21750,9058,33243,14765,14463,7622,1665,1028,18,13
California,Lake County,3617,1821,10466,5088,4445,2067,7851,3731,7700,3732,18640,9306,14150,7148,1270,745,24,16
California,Lassen County,1391,686,4113,2035,2799,877,6710,1481,5179,1371,7793,3156,4283,2138,452,261,10,5
California,Los Angeles County,501341,245489,1552877,757468,983905,488045,1591679,791860,1385971,698297,2544286,1309416,1270878,700712,180126,113974,"2,946","2,235"
California,Madera County,10488,5172,32538,16021,14411,6940,20783,10604,19786,10064,35290,17549,20637,10664,2293,1339,29,21
California,Marin County,11547,5614,41323,20106,16857,8188,23608,11372,32573,16564,77166,39400,52225,28213,6943,4203,79,68
California,Mariposa County,730,360,2214,1081,938,433,1717,814,1772,848,4960,2555,4385,2180,401,243,14,8
California,Mendocino County,4576,2247,14274,7000,6224,2911,10895,5176,11747,5668,22709,11522,19255,10045,1887,1175,34,20
California,Merced County,20026,9727,60953,29844,32004,15551,38711,19051,35409,17753,60618,30743,29787,15897,3645,2262,49,37
California,Modoc County,452,225,1343,673,473,215,887,424,881,442,2344,1181,2085,1044,231,146,4,3
California,Mono County,717,335,1923,952,926,403,2134,956,1800,859,3567,1643,1999,934,126,63,3,2
California,Monterey County,26907,13233,84351,41272,44702,21068,63620,30218,58224,28049,98815,50132,54590,29086,7705,4760,121,94
California,Napa County,6139,3010,21407,10455,11044,5285,16560,8100,17342,8801,36839,18986,24705,13154,3891,2387,92,64
California,Nevada County,4186,1994,13724,6659,5633,2656,9828,4765,12541,6217,27770,14425,25598,13266,2912,1792,49,43
California,Orange County,156601,76589,510730,248803,316969,156605,439365,215551,415516,211454,846704,435963,436721,238518,63566,39413,817,641
California,Placer County,20691,10034,70931,34717,29591,14244,41727,21027,52804,27032,106072,54866,72474,39558,10334,6243,115,76
California,Plumas County,845,398,2605,1290,989,463,1895,928,2098,1039,5456,2830,5466,2639,424,244,12,11
California,Riverside County,139284,68341,455396,222405,238202,115996,316825,156247,306892,156034,590794,298826,329912,176905,40456,23998,424,315
California,Sacramento County,93714,45843,274032,133921,141909,69123,237198,118878,214435,108702,386118,199986,209015,115681,28246,17827,388,307
California,San Benito County,4088,2032,12206,6017,5935,2788,8340,4205,8744,4339,16132,8196,7794,4078,953,606,17,7
California,San Bernardino County,135299,66612,417313,204012,222684,106872,319032,158227,283237,144083,526165,270941,250877,134988,26721,16823,326,247
California,San Diego County,174765,85419,515101,250882,356486,164196,502483,245296,444073,222106,805852,412307,437697,237067,61298,37927,879,638
California,San Francisco County,34890,17164,78337,38469,67574,34699,202410,97707,138496,64596,210159,98224,121448,64015,20255,12652,396,295
California,San Joaquin County,50041,24553,155792,75869,74774,35746,104914,51753,102644,51716,184462,92836,94459,50836,12016,7663,131,98
California,San Luis Obispo County,12536,6140,38144,18502,35231,17543,32916,15504,33134,16070,69210,35662,54410,28504,6766,4174,77,54
California,San Mateo County,40001,19408,114205,55552,57719,27422,113875,55100,111523,55641,200803,103096,109295,59914,16714,10519,307,244
California,Santa Barbara County,24738,12122,72686,35503,60167,30320,62275,30053,53234,26296,100428,51040,63802,34152,10746,6576,153,116
California,Santa Clara County,101857,49369,304685,148170,169462,80539,314538,148411,283077,139509,495105,247570,231357,125182,35648,21802,530,394
California,Santa Cruz County,11939,5959,39158,19160,32424,15787,33850,16312,33928,17090,70369,35833,44388,23113,4733,3073,72,63
California,Shasta County,9592,4606,29051,14079,13442,6472,21773,11022,21197,10540,46321,24005,36118,19001,4605,2735,56,41
California,Sierra County,129,57,409,202,125,47,280,137,368,171,924,468,923,474,70,39,8,6
California,Siskiyou County,2054,968,6432,3125,2947,1404,4377,2175,4726,2356,11750,6133,10675,5364,1101,665,14,14
California,Solano County,25069,12275,73652,36070,39748,18557,62590,30434,59837,29752,117555,60408,67254,36300,7691,4847,95,64
